criterion_id,level,title,description
2.4.8,AAA,Location,Information about the user's location within a set of Web pages is available.
2.4.9,AAA,Link Purpose (Link Only),A mechanism is available to allow the purpose of each link to be identified from link text alone.
2.4.10,AAA,Section Headings,Section headings are used to organize the content.
2.4.11,AA,Focus Not Obscured (Minimum),When a user interface component receives keyboard focus the component is not entirely hidden due to author-created content.
2.4.12,AAA,Focus Not Obscured (Enhanced),When a user interface component receives keyboard focus the component is not hidden due to author-created content.
2.4.13,AAA,Focus Appearance,When the keyboard focus indicator is visible the focus indicator meets minimum area and contrast requirements.
2.5.1,A,Pointer Gestures,All functionality that uses multipoint or path-based gestures for operation can be operated with a single pointer without a path-based gesture.
2.5.2,A,Pointer Cancellation,For functionality that can be operated using a single pointer certain conditions must be met to make it easier for users to cancel accidental pointer inputs.
2.5.3,A,Label in Name,"For user interface components with labels that include text or images of text, the name contains the text that is presented visually."
2.5.4,A,Motion Actuation,Functionality that can be operated by device motion or user motion can also be operated by user interface components.
2.5.5,AAA,Target Size,The size of the target for pointer inputs is at least 44 by 44 CSS pixels.
2.5.6,AAA,Concurrent Input Mechanisms,Web content does not restrict use of input modalities available on a platform except where the restriction is essential.
2.5.7,AA,Dragging Movements,All functionality that uses a dragging movement for operation can be achieved by a single pointer without dragging.
2.5.8,AA,Target Size (Minimum),The size of the target for pointer inputs is at least 24 by 24 CSS pixels.
3.1.1,A,Language of Page,The default human language of each Web page can be programmatically determined.
3.1.2,AA,Language of Parts,The human language of each passage or phrase in the content can be programmatically determined.
3.1.3,AAA,Unusual Words,A mechanism is available for identifying specific definitions of words or phrases used in an unusual or restricted way.
3.1.4,AAA,Abbreviations,A mechanism for identifying the expanded form or meaning of abbreviations is available.
3.1.5,AAA,Reading Level,"Where text requires reading ability more advanced than the lower secondary education level after removal of proper names and titles, supplemental content, or a version that does not require reading ability more advanced than the lower secondary education level, is available."
3.1.6,AAA,Pronunciation,A mechanism is available for identifying specific pronunciation of words where meaning of the words in context is ambiguous without knowing the pronunciation.
3.2.1,A,On Focus,If any component receives focus it does not initiate a change of context.
3.2.2,A,On Input,Changing the setting of any user interface component does not automatically cause a change of context.
3.2.3,AA,Consistent Navigation,Navigational mechanisms that are repeated on multiple Web pages within a set of Web pages occur in the same relative order each time they are repeated.
3.2.4,AA,Consistent Identification,Components that have the same functionality within a set of Web pages are identified consistently.
3.2.5,AAA,Change on Request,Changes of context are initiated only by user request or a mechanism is available to turn off such changes.
3.2.6,AA,Consistent Help,If a Web page contains help mechanisms those help mechanisms occur in the same relative order.
3.3.1,A,Error Identification,"If an input error is automatically detected, the item that is in error is identified and the error is described to the user in text."
3.3.2,A,Labels or Instructions,Labels or instructions are provided when content requires user input.
3.3.3,AA,Error Suggestion,"If an input error is automatically detected and suggestions for correction are known, then the suggestion is provided to the user."
3.3.4,AA,Error Prevention (Legal Financial Data),"For Web pages that cause legal commitments or financial transactions for the user to occur, that modify or delete user-controllable data in data storage systems, or that submit user test responses, submissions are reversible, checked, or confirmed."
3.3.5,AAA,Help,Context-sensitive help is available.
3.3.6,AAA,Error Prevention (All),For Web pages that require the user to submit information a mechanism is available to review correct and confirm information before finalizing.
3.3.7,A,Redundant Entry,"Information previously entered by or provided to the user that is required to be entered again in the same process is auto-populated, or available for the user to select."
3.3.8,AA,Accessible Authentication (Minimum),"A cognitive function test is not required for any step in an authentication process unless that step provides an alternative method, or a mechanism to assist the user."
3.3.9,AAA,Accessible Authentication (Enhanced),A cognitive function test is not required for any step in an authentication process.
4.1.1,A,Parsing,"In content implemented using markup languages, elements have complete start and end tags, elements are nested according to their specifications, elements do not contain duplicate attributes, and any IDs are unique."
4.1.2,A,Name Role Value,"For all user interface components, the name and role can be programmatically determined; states, properties, and values that can be set by the user can be programmatically set; and notification of changes to these items is available to user agents, including assistive technologies."
4.1.3,AA,Status Messages,"In content implemented using markup languages, status messages can be programmatically determined through role or properties such that they can be presented to the user by assistive technologies without receiving focus."
